date,cpi_mom_inflation,broad_money,ppi_qoq,wti,gold,policy_rate,VNINDEX,NIKKEI225,USDVND
1995-01-01,-0.3853564547206083,3.567,-0.73,18.39,278.29998779296875,10.8,101.55,18649.8203125,11039.0
1995-02-01,-0.3853564547206083,3.303,-0.73,18.49,278.29998779296875,10.8,101.55,17053.4296875,11050.0
1995-03-01,-3.094777562862672,3.495,-0.73,19.17,278.29998779296875,10.8,101.55,16139.9501953125,11045.0
1995-04-01,0.7984031936127716,3.434,-0.73,20.38,278.29998779296875,10.8,101.55,16806.75,11041.0
1995-05-01,0.7920792079207893,3.247,-0.73,18.89,278.29998779296875,10.8,101.55,15436.7900390625,11045.0
1995-06-01,-0.9823182711198428,3.13,-0.73,17.4,278.29998779296875,10.8,101.55,14517.400390625,11040.0
1995-07-01,-0.7936507936507908,3.107,-0.73,17.56,278.29998779296875,10.8,101.55,16677.529296875,11030.0
1995-08-01,0.2999999999999971,3.172,-0.73,17.84,278.29998779296875,10.8,101.55,18117.220703125,11025.0
1995-09-01,0.1994017946161544,2.821,-0.73,17.54,278.29998779296875,10.8,101.55,17913.060546875,11015.0
1995-10-01,-0.3980099502487618,2.889,-0.73,17.64,278.29998779296875,10.8,101.55,17654.640625,11004.0
1995-11-01,0.0,2.844,-0.73,18.18,278.29998779296875,10.8,101.55,18744.419921875,11009.0
1995-12-01,0.1998001998002026,3.072,-0.73,19.55,278.29998779296875,10.8,101.55,19868.150390625,11010.0
1996-01-01,1.5857284440039587,3.1,-0.73,17.74,278.29998779296875,10.8,101.55,20812.740234375,11010.0
1996-02-01,1.5857284440039587,2.924,-0.73,19.54,278.29998779296875,10.8,101.55,20125.369140625,11010.0
1996-03-01,-1.6585365853658565,2.746,-0.73,21.47,278.29998779296875,10.8,101.55,21406.849609375,11010.0
1996-04-01,-0.6944444444444473,2.617,-0.73,21.2,278.29998779296875,10.8,101.55,22041.30078125,11010.0
1996-05-01,-0.5994005994005938,2.72,-0.73,19.76,278.29998779296875,10.8,101.55,21956.189453125,11009.0
1996-06-01,0.0,2.833,-0.73,20.92,278.29998779296875,10.8,101.55,22530.75,11012.0
1996-07-01,-0.2010050251256309,2.921,-0.73,20.42,278.29998779296875,10.8,101.55,20692.830078125,11018.0
1996-08-01,0.3021148036253748,2.907,-0.73,22.25,278.29998779296875,10.8,101.55,20166.900390625,11017.0
1996-09-01,0.7028112449799226,2.887,-0.73,24.38,278.29998779296875,10.8,101.55,21556.400390625,11029.0
1996-10-01,-0.1994017946161544,3.078,-0.73,23.35,278.29998779296875,10.8,101.55,20466.859375,11060.0
1996-11-01,0.7992007992008107,3.132,-0.73,23.75,278.29998779296875,10.8,101.55,21020.359375,11089.0
1996-12-01,0.0991080277502421,2.918,-0.73,25.92,278.29998779296875,10.8,101.55,19361.349609375,11146.0
1997-01-01,0.992063492063492,2.918,-0.73,24.15,278.29998779296875,10.8,101.55,18330.009765625,11177.0
1997-02-01,0.992063492063492,2.918,-0.73,20.3,278.29998779296875,10.8,101.55,18557.0,11201.0
1997-03-01,-2.259332023575636,2.739,-0.73,20.41,278.29998779296875,10.8,101.55,18003.400390625,11645.0
1997-04-01,-0.1005025125628083,2.706,-0.73,20.21,278.29998779296875,10.8,101.55,19151.119140625,11652.0
1997-05-01,0.1006036217303765,2.742,-0.73,20.88,278.29998779296875,10.8,101.55,20068.810546875,11655.0
1997-06-01,0.6030150753768787,2.696,-0.73,19.8,278.29998779296875,10.8,101.55,20604.9609375,11663.0
1997-07-01,0.0999000999001084,2.702,-0.73,20.14,278.29998779296875,10.8,101.55,20331.4296875,11680.0
1997-08-01,-0.0998003992016053,2.67,-0.73,19.61,278.29998779296875,10.8,101.55,18229.419921875,11694.0
1997-09-01,0.4995004995004995,2.673,-0.73,21.18,278.29998779296875,10.8,101.55,17887.7109375,11715.0
1997-10-01,-0.2982107355864782,2.893,-0.73,21.08,278.29998779296875,10.8,101.55,16458.939453125,12240.0
1997-11-01,0.0,3.057,-0.73,19.15,278.29998779296875,10.8,101.55,16636.259765625,12286.0
1997-12-01,0.6979062811565333,2.892,-0.73,17.64,278.29998779296875,10.8,101.55,15258.740234375,12291.0
1998-01-01,0.5905511811023706,3.034,-0.73,17.21,278.29998779296875,12.0,101.55,16628.470703125,12288.0
1998-02-01,0.5905511811023706,2.983,-0.73,15.44,278.29998779296875,12.0,101.55,16831.669921875,12968.0
1998-03-01,-2.935420743639922,2.964,-0.73,15.61,278.29998779296875,12.0,101.55,16527.169921875,12974.0
1998-04-01,2.4193548387096686,2.978,-0.73,15.39,278.29998779296875,12.0,101.55,15641.259765625,12982.0
1998-05-01,-0.1968503937007762,2.987,-0.73,15.2,278.29998779296875,12.0,101.55,15670.7802734375,12982.0
1998-06-01,-1.3806706114398477,3.033,-0.73,14.18,278.29998779296875,12.0,101.55,15830.26953125,12983.0
1998-07-01,-0.5,3.133,-0.73,14.21,278.29998779296875,12.0,101.55,16378.9697265625,12993.0
1998-08-01,1.6080402010050194,3.041,-0.73,13.34,278.29998779296875,12.0,101.55,14107.8896484375,13907.0
1998-09-01,-0.0989119683481645,3.036,-0.73,16.14,278.29998779296875,12.0,101.55,13406.3896484375,13900.0
1998-10-01,-0.6930693069306959,2.987,-0.73,14.42,278.29998779296875,12.0,101.55,13564.509765625,13904.0
1998-11-01,-0.1994017946161544,3.039,-0.73,11.22,278.29998779296875,12.0,101.55,14883.7001953125,13875.0
1998-12-01,0.6993006993007022,3.142,-0.73,12.05,278.29998779296875,12.0,101.55,13842.169921875,13892.0
1999-01-01,0.1966568338249782,2.912,-0.73,12.75,278.29998779296875,12.0,101.55,14499.25,13877.0
1999-02-01,0.1966568338249782,2.957,-0.73,12.27,278.29998779296875,12.0,101.55,14367.5400390625,13890.0
1999-03-01,-2.5515210991167896,3.1,-0.73,16.76,278.29998779296875,12.0,101.55,15836.58984375,13901.0
1999-04-01,0.1007049345418011,3.116,-0.73,18.66,278.29998779296875,12.0,101.55,16701.529296875,13907.0
1999-05-01,0.2012072434607531,3.028,-0.73,16.84,278.29998779296875,12.0,101.55,16111.650390625,13910.0
1999-06-01,0.1004016064257113,2.977,-0.73,19.29,278.29998779296875,9.6,101.55,17529.740234375,13930.0
1999-07-01,-0.1003009027081329,2.977,-0.73,20.53,278.29998779296875,9.6,101.55,17861.859375,13946.0
1999-08-01,0.0,2.977,-0.73,22.11,278.29998779296875,9.6,101.55,17436.560546875,13960.0
1999-09-01,-0.2008032128513941,2.697,-0.73,24.51,278.29998779296875,8.4,101.55,17605.4609375,13993.0
1999-10-01,-0.4024144869215348,2.697,-0.73,21.75,278.29998779296875,8.4,101.55,17942.080078125,14008.0
1999-11-01,1.41414141414142,2.697,-0.73,24.59,278.29998779296875,6.0,101.55,18558.23046875,14014.0
1999-12-01,0.0996015936254923,3.117,-0.73,25.6,278.29998779296875,6.0,101.55,18934.33984375,14027.0
2000-01-01,1.1952191235059646,3.117,-0.73,27.64,278.29998779296875,6.0,101.55,19539.69921875,14050.0
2000-02-01,1.1952191235059646,3.117,-0.73,30.43,278.29998779296875,6.0,101.55,19959.51953125,14055.0
2000-03-01,-2.657480314960619,3.183,-0.73,26.9,278.29998779296875,6.0,101.55,20337.3203125,14059.0
2000-04-01,0.4044489383215282,3.183,-0.73,25.74,278.29998779296875,6.0,101.55,17973.69921875,14065.0
2000-05-01,0.1007049345418011,3.183,-0.73,29.01,278.29998779296875,6.0,101.55,16332.4501953125,14082.0
2000-06-01,0.1006036217303765,3.385,-0.73,32.5,278.29998779296875,5.4,101.55,17411.05078125,14081.0
2000-07-01,-0.1005025125628083,3.385,-0.73,27.43,278.29998779296875,5.4,101.55,15727.490234375,14090.0
2000-08-01,0.7042253521126646,3.385,-0.73,33.12,278.29998779296875,5.4,115.15,16861.259765625,14118.0
2000-09-01,-0.2997002997002969,3.581,-0.73,30.84,273.6000061035156,5.4,120.71,15747.259765625,14212.0
2000-10-01,0.3006012024048068,3.581,-0.73,32.7,264.8999938964844,5.4,140.84,14539.599609375,14375.0
2000-11-01,0.7992007992008107,3.581,-0.73,33.82,270.1000061035156,6.0,168.73,14648.509765625,14496.0
2000-12-01,-0.7928642220019935,3.974,-0.73,26.8,272.0,6.0,206.83,13785.6904296875,14512.0
