TIME_PERIOD,US_Sentiment,US_Retail,PCE,EU_RETAIL,Export_EU,Export_US,Import_CN,USD_VND,EUR_VND
2008-01-01,78.4,330478,9996.4,88.0,1060566.064,1029121.673,1549200.995,15868.0,23168.0
2008-02-01,70.8,327869,9981.7,88.7,590877.097,581662.116,1156824.469,15960.0,23399.0
2008-03-01,69.5,328493,10035.3,87.3,834906.961,856736.066,1523446.321,15654.0,23794.0
2008-04-01,62.6,328037,10070.3,87.9,834992.265,889402.775,1614935.196,16115.0,24812.0
2008-05-01,59.8,331088,10132.3,87.9,969736.354,1038532.287,1583442.904,16120.0,24537.0
2008-06-01,56.4,331764,10187.1,87.1,1044794.443,1032902.924,1335502.106,15986.0,24846.0
2008-07-01,61.2,330301,10185.1,86.7,1010615.281,1127297.59,1272203.357,16847.0,26187.0
2008-08-01,63.0,327296,10175.7,86.9,859722.156,1098628.402,1111903.583,16506.0,23845.0
2008-09-01,70.3,321568,10116.4,87.5,768038.061,1137531.063,1149046.447,16324.0,23816.0
2008-10-01,57.6,308968,10034.1,86.7,889292.085,1223624.359,1144938.595,16456.0,23060.0
2008-11-01,55.3,295396,9885.2,86.8,889621.886,828040.106,923896.743,16812.0,21203.0
2008-12-01,60.1,287571,9801.5,86.4,1099841.097,1025029.35,1286785.568,16812.0,21206.0
2009-01-01,61.2,292449,9847.2,86.0,833216.343,791025.416,774870.076,17211.0,24048.0
2009-02-01,56.3,291429,9824.5,85.3,693882.239,669252.48,941424.769,17204.0,21976.0
2009-03-01,57.3,286022,9773.2,84.9,730560.36,856340.384,1174168.583,17183.0,21626.0
2009-04-01,65.1,287530,9772.5,85.9,763721.835,875068.673,1247505.825,17633.0,23163.0
2009-05-01,68.7,290215,9791.6,84.9,759487.441,929574.543,1373099.891,17514.0,23202.0
2009-06-01,70.8,295458,9852.4,84.6,812468.39,1019015.525,1344755.963,16855.0,24904.0
2009-07-01,66.0,296928,9886.3,85.1,846916.517,1034023.101,1504312.108,17516.0,24622.0
2009-08-01,65.7,302871,10004.1,84.5,714562.046,1036455.177,1330093.51,17525.0,25046.0
2009-09-01,73.5,294449,9927.8,84.7,646169.582,986981.865,1641144.369,17700.0,25060.0
2009-10-01,70.6,298067,9976.7,84.9,769308.654,1089371.434,1590333.028,17576.0,25549.0
2009-11-01,67.4,300583,9985.7,84.7,1039886.459,926595.876,1560370.263,17840.0,25998.0
2009-12-01,72.5,301959,10052.6,85.8,768113.742,1142052.303,1958873.415,18099.0,27305.0
2010-01-01,74.4,302325,10056.1,84.7,870962.704,1006403.178,1449312.208,18167.0,26188.0
2010-02-01,73.6,302310,10093.4,85.2,646254.632,778854.55,1004979.349,18410.0,25276.0
2010-03-01,73.6,309525,10156.0,86.2,821606.167,1053179.402,1515630.734,19000.0,25394.0
2010-04-01,72.2,312143,10182.3,85.0,808246.194,1067421.792,1560693.405,19050.0,25378.0
2010-05-01,73.6,309158,10210.8,85.7,859527.656,1120556.431,1842218.289,18980.0,24704.0
2010-06-01,76.0,308588,10231.3,85.9,946246.852,1273275.597,1726240.695,18925.0,22526.0
2010-07-01,67.8,309543,10268.1,85.9,1026176.566,1358597.444,1681720.102,19000.0,23113.0
2010-08-01,68.9,310761,10307.1,85.5,941693.801,1399119.606,1723343.666,18769.0,24528.0
2010-09-01,68.2,313785,10327.1,85.8,886113.34,1321734.185,1660857.267,19450.0,24331.0
2010-10-01,67.7,317699,10386.4,85.7,1052599.562,1231049.753,1705167.743,19475.0,26184.0
2010-11-01,71.6,320695,10433.6,85.7,1118897.405,1197593.964,1994267.595,19440.0,26614.0
2010-12-01,74.5,323421,10471.0,85.6,1407153.076,1430345.598,2154395.948,19465.0,24996.0
2011-01-01,74.2,325674,10514.3,85.2,1428519.461,1356786.475,1792655.243,19465.0,25695.0
2011-02-01,77.5,328049,10540.6,86.1,721281.678,708466.648,1274107.529,19460.0,26257.0
2011-03-01,67.5,331161,10619.7,84.9,1323476.638,1386397.831,1947050.56,19465.0,28479.0
2011-04-01,69.8,333189,10652.1,85.9,1286461.001,1332481.457,2065504.881,20885.0,29288.0
2011-05-01,74.3,332409,10672.2,84.4,1263781.765,1370556.855,1998808.735,20374.0,30278.0
2011-06-01,71.5,335108,10694.8,85.0,1390265.01,1530758.641,2032889.864,20500.0,29191.0
2011-07-01,63.7,334922,10731.6,85.1,1404234.706,1653348.223,1924747.629,20555.0,29397.0
2011-08-01,55.8,335163,10750.3,85.0,1440364.244,1630271.993,2175596.75,20333.0,28937.0
2011-09-01,59.5,339011,10783.2,85.0,1324197.064,1418760.485,2162478.849,20800.0,29676.0
2011-10-01,60.8,341058,10802.9,85.3,1641244.38,1497808.888,2203109.761,20805.0,27719.0
2011-11-01,63.7,342214,10806.8,84.8,1644291.331,1415713.215,2470972.85,20731.0,29035.0
2011-12-01,69.9,343093,10817.8,84.7,1677160.188,1626412.289,2545796.349,20739.0,27565.0
2012-01-01,75.0,345656,10896.8,84.8,1342340.728,1244744.882,1645826.741,20728.0,26812.0
2012-02-01,75.3,350345,10987.2,84.2,1489052.046,1339414.374,1782171.371,21010.0,27296.0
2012-03-01,76.2,351748,10993.9,85.0,1509878.822,1609952.012,2223908.431,20800.0,27607.0
2012-04-01,76.4,349722,11018.5,83.6,1469857.234,1604926.798,2221314.277,20780.0,27400.0
2012-05-01,79.3,349064,11006.8,84.2,1638247.712,1757704.864,2700262.528,20810.0,27225.0
2012-06-01,73.2,345339,10989.8,84.4,1782989.786,1723088.36,2427163.236,20362.0,25486.0
2012-07-01,72.3,346936,11016.8,84.3,1678125.582,1855734.478,2657376.244,20640.0,25898.0
2012-08-01,74.3,351782,11056.0,84.1,1781309.529,1837764.798,2627310.761,20672.0,25233.0
2012-09-01,78.3,354575,11105.3,83.7,1539106.58,1589375.567,2366935.285,20492.0,25825.0
2012-10-01,82.6,354747,11137.4,83.2,1909816.649,1668077.762,2800550.767,20840.0,26589.0
2012-11-01,82.7,356158,11178.4,82.9,2055100.963,1662546.325,2675492.606,20577.0,26718.0
2012-12-01,72.9,357519,11181.2,83.5,2106994.334,1774609.898,2657545.666,20775.0,26716.0
2013-01-01,73.8,360257,11252.4,83.3,2266490.03,2028539.377,2956112.43,20496.0,27079.0
2013-02-01,77.6,365227,11290.5,83.3,1361561.749,1117625.089,1789045.021,20543.0,27843.0
2013-03-01,78.6,362148,11290.1,83.3,1893105.985,1750234.918,2670359.791,20619.0,27089.0
2013-04-01,76.4,360499,11281.1,83.2,1770837.381,1773263.237,3017901.377,20905.0,26426.0
2013-05-01,84.5,362842,11321.6,83.9,2151748.551,2176565.828,3514922.974,20576.0,26848.0
2013-06-01,84.1,364181,11344.4,83.3,2174618.872,2042593.286,2923749.365,20604.0,26901.0
2013-07-01,85.1,366243,11372.6,83.9,2102282.142,2157394.773,3315450.968,20836.0,27310.0
2013-08-01,82.1,365543,11406.6,84.1,2126892.742,2096232.819,3181228.124,21090.0,27665.0
2013-09-01,77.5,365668,11445.9,84.0,1956877.839,1998697.294,3374248.679,21090.0,27608.0
2013-10-01,73.2,366444,11498.0,83.8,2247882.3,2345565.044,3631572.192,21090.0,28101.0
2013-11-01,75.1,366868,11562.5,84.6,2249554.626,2098011.909,3192720.543,21090.0,28378.0
2013-12-01,82.5,369499,11593.2,84.2,2028443.084,2284516.734,3387025.278,21090.0,28343.0
2014-01-01,81.2,366684,11578.8,84.1,2197975.551,2357873.112,2880810.31,20835.0,28640.0
2014-02-01,81.6,371335,11636.9,84.2,1632539.611,1578026.081,2416471.803,21041.0,28134.0
2014-03-01,80.0,375285,11722.3,84.6,2230838.599,2215162.67,3511432.28,21055.0,28704.0
2014-04-01,84.1,379432,11762.3,84.7,4795316.039,4672882.257,7718540.053,21040.0,28711.0
2014-05-01,81.9,379787,11807.3,84.4,4795316.039,4672882.257,7718540.053,21050.0,28755.0
2014-06-01,82.5,380618,11861.7,84.7,2334372.998,2478541.187,3342524.395,21095.0,28397.0
2014-07-01,81.8,381045,11904.4,84.2,2351047.713,2560714.908,3803355.371,21257.0,28717.0
