component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
VMD1,1,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.2115205083963,-785.4939578852182,-810.4004911787617,977.1227780718938,1.5500917714065676e-201,204.04985028807985,4.754286720414452e-37,16.9726256314735,0.00020627242410279514,0.13144345659890275,4.2787707187049975
VMD1,2,"target:[1, 12] | broad_money:[6], ppi_qoq:[2], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.2115205083963,-785.4939578852182,-810.4004911787617,977.1227780718938,1.5500917714065676e-201,204.04985028807985,4.754286720414452e-37,16.9726256314735,0.00020627242410279514,0.13144345659890275,4.2787707187049975
VMD1,3,"target:[1, 12] | broad_money:[6], ppi_qoq:[3], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.2115205083963,-785.4939578852182,-810.4004911787617,977.1227780718938,1.5500917714065676e-201,204.04985028807985,4.754286720414452e-37,16.9726256314735,0.00020627242410279514,0.13144345659890275,4.2787707187049975
VMD1,4,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[4], NIKKEI225:[6], USDVND:[6]",239,-827.225163715257,-785.5076010920789,-810.4141343856224,977.3583241352449,1.379531270390429e-201,204.03206484824742,4.794684776817597e-37,16.98015359474312,0.00020549747784337317,0.1300977936044698,4.279616459196798
VMD1,5,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[5], NIKKEI225:[6], USDVND:[6]",239,-827.2395271974087,-785.5219645742307,-810.4284978677741,977.6421203970874,1.1987679320022746e-201,204.02924588324,4.8011192313730735e-37,16.979642578294754,0.00020554999084747722,0.12822756783632147,4.28035130889074
VMD1,6,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[5], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.1163440468979,-785.3987814237198,-810.3053147172633,978.5512086521056,7.644396853663449e-202,204.34474938605155,4.131932676831556e-37,16.585474314362717,0.0002503283361508294,0.11764996000054956,4.268905397610702
VMD1,7,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[5], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.3899451990803,-785.6723825759022,-810.5789158694457,975.0645289667923,4.29270522974514e-201,203.8842244501762,5.144048779593008e-37,17.26546576929068,0.0001781770418849057,0.14705532332431287,4.28345999108345
VMD1,8,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[2], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.1330903824346,-785.4155277592565,-810.3220610528,977.660311265894,1.1880243455988046e-201,204.2800230222146,4.261155625756348e-37,16.70125847957826,0.0002362478151231582,0.1265081139320046,4.270077403410726
VMD1,9,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[4], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[6]",239,-827.603696086065,-785.8861334628868,-810.7926667564304,972.7729945827707,1.334236236677565e-200,203.65768889915097,5.729371444086705e-37,17.622293180214257,0.0001490622446225404,0.16512212835933507,4.288619956912288
VMD1,10,"target:[1, 12] | broad_money:[6], ppi_qoq:[1], wti:[6], gold:[6], policy_rate:[1], VNINDEX:[3], NIKKEI225:[6], USDVND:[5]",239,-827.2699195610671,-785.552356937889,-810.4588902314325,975.7389939924442,3.0744771331171634e-201,203.94634465807655,4.994254603380575e-37,17.07156091406423,0.0001963168824571772,0.13261900472810742,4.282165278839851
