feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__target_lag_validation_screen__,VMD1,0.0,"(1,)",validation_screen,acf_pacf,{1: 'pacf+acf+forced'},{1: 0.8189448162793379},{1: 0.8189448162793381},0.1589769927081473,False,False,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",146.0,33.0,0.018513151401033292,0.014752104113654026,380.3171951267406,34.375,,,,,,,,,,,,,
__target_lag_validation_screen__,VMD1,1.0,"(1, 2)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 2: 'pacf+acf'}","{1: 0.8189448162793379, 2: 0.4035158261679499}","{1: 0.8189448162793381, 2: -0.8112084610946716}",0.1589769927081473,False,False,"target:[1, 2] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3, 4, 5, 6)}",146.0,33.0,0.019045362812700146,0.015017119944537461,457.0564062008117,34.375,,,,,,,,,,,,,
__target_lag_validation_screen__,VMD1,2.0,"(1, 6)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 6: 'acf'}","{1: 0.8189448162793379, 6: -0.809083403171578}","{1: 0.8189448162793381, 6: -0.07971071154940372}",0.1589769927081473,True,False,"target:[1, 6] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1,), 'USD_VND': (1, 2, 3, 4, 5)}",146.0,33.0,0.017907614052767636,0.014610251952076892,403.499407215119,34.375,,,,,,,,,,,,,
__target_lag__,VMD1,,"(1, 6)",validation_screen,,,,,,True,False,,,,,,,,,1.0,aic,,,,,,,,,,,
__target_lag__,VMD1,,"(1, 6)",validation_screen,,,,,,True,False,,,,,,,,,6.0,aic,,,,,,,,,,,
US_Retail,VMD1,,"(1, 6)",,,,,,,,,,,,,,,,,,aic,1.0,-1092.965978765518,-1078.0479456569763,-1092.965978765518,146.0,1.0,True,,,,
US_Retail,VMD1,,"(1, 6)",,,,,,,,,,,,,,,,,,aic,2.0,-1084.7433566416864,-1069.8253235331447,-1084.7433566416864,146.0,2.0,True,,,,
US_Retail,VMD1,,"(1, 6)",,,,,,,,,,,,,,,,,,aic,3.0,-1075.1908196224097,-1060.272786513868,-1075.1908196224097,146.0,3.0,True,,,,
US_Retail,VMD1,,"(1, 6)",,,,,,,,,,,,,,,,,,aic,4.0,-1069.3738364118203,-1054.4558033032786,-1069.3738364118203,146.0,,False,,,,
US_Retail,VMD1,,"(1, 6)",,,,,,,,,,,,,,,,,,aic,5.0,-1067.5406097087578,-1052.622576600216,-1067.5406097087578,146.0,,False,,,,
