feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__target_lag_validation_screen__,raw_no_vmd,0.0,"(1,)",validation_screen,acf_pacf,{1: 'pacf+acf+forced'},{1: -0.38033102132068414},{1: -0.3803310213206842},0.1589769927081473,True,False,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",148.0,33.0,0.13790675395884203,0.10496231481149555,283.0501866651133,62.5,,,,,,,,,,,,,
__target_lag_validation_screen__,raw_no_vmd,1.0,"(1, 11)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 11: 'pacf'}","{1: -0.38033102132068414, 11: -0.10963818703203052}","{1: -0.3803310213206842, 11: -0.4059620612336614}",0.1589769927081473,False,False,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",141.0,33.0,0.17236013140771905,0.1305815857559333,361.70995239219474,65.625,,,,,,,,,,,,,
__target_lag_validation_screen__,raw_no_vmd,2.0,"(1, 11, 12)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 11: 'pacf', 12: 'pacf+acf'}","{1: -0.38033102132068414, 11: -0.10963818703203052, 12: 0.49808605173472603}","{1: -0.3803310213206842, 11: -0.4059620612336614, 12: 0.23371379660743144}",0.1589769927081473,False,False,"target:[1, 11, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",140.0,33.0,0.2201602533676253,0.18267260484831063,509.1156650108296,62.5,,,,,,,,,,,,,
__target_lag__,raw_no_vmd,,"(1,)",validation_screen,,,,,,True,False,,,,,,,,,1.0,aic,,,,,,,,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-69.54511165034917,-57.47599230308947,-69.54511165034917,151.0,1.0,True,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-66.53714771284957,-54.46802836558987,-66.53714771284957,151.0,,False,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-67.15905142966152,-55.089932082401816,-67.15905142966152,151.0,,False,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-67.54067979302278,-55.471560445763075,-67.54067979302278,151.0,3.0,True,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-67.31001748664926,-55.24089813938956,-67.31001748664926,151.0,,False,,,,
US_Retail,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-67.81448478293724,-55.74536543567754,-67.81448478293724,151.0,2.0,True,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-68.58516012922264,-56.51604078196294,-68.58516012922264,151.0,2.0,True,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-65.93086088870633,-53.861741541446634,-65.93086088870633,151.0,,False,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-68.93787292636407,-56.868753579104364,-68.93787292636407,151.0,1.0,True,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-68.36589481268423,-56.29677546542453,-68.36589481268423,151.0,3.0,True,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-67.3101266390007,-55.241007291741,-67.3101266390007,151.0,,False,,,,
PCE,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-67.52427318476744,-55.45515383750774,-67.52427318476744,151.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-65.81632070667683,-53.74720135941713,-65.81632070667683,151.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-68.78530599089939,-56.71618664363969,-68.78530599089939,151.0,1.0,True,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-66.67557570225193,-54.60645635499223,-66.67557570225193,151.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-67.34383462427031,-55.274715277010614,-67.34383462427031,151.0,3.0,True,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-67.30897209001023,-55.23985274275053,-67.30897209001023,151.0,,False,,,,
US_Sentiment,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-67.45247851775008,-55.38335917049038,-67.45247851775008,151.0,2.0,True,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-67.19833457710052,-55.129215229840824,-67.19833457710052,151.0,,False,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-74.58993727406683,-62.520817926807126,-74.58993727406683,151.0,1.0,True,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-66.65245875105492,-54.58333940379522,-66.65245875105492,151.0,,False,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-67.36162894797043,-55.29250960071073,-67.36162894797043,151.0,3.0,True,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-67.31442330334494,-55.24530395608524,-67.31442330334494,151.0,,False,,,,
Import_CN,raw_no_vmd,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-68.49740908045598,-56.42828973319628,-68.49740908045598,151.0,2.0,True,,,,
