dataset,model,uses_vmd,vmd_setting,vmd_modes,activation,split,scale,RMSE,MAE,MAPE,Directional_Accuracy
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,"relu,tanh",test,reconstructed_transformed,0.11831093156042154,0.09274449497812785,359.9437930847334,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,"relu,tanh",test,level,1287946.2056512642,1006511.375186955,9.314906218034839,53.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,"relu,tanh",validation,reconstructed_transformed,0.09913178807964522,0.06128653586310631,123.4513332967375,87.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,"relu,tanh",validation,level,824411.1782455882,512221.59566373844,6.55719521284765,84.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,relu,test,reconstructed_transformed,0.12844176836817078,0.0925458804038028,204.785622314948,56.25
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,relu,test,level,1313086.3909398036,983499.2550185422,9.580720280574774,43.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,relu,validation,reconstructed_transformed,0.09909269554689165,0.0779674285984841,172.31475675260782,78.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,relu,validation,level,809649.2074126829,644970.7280244285,8.010510988536607,59.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,"relu,tanh",test,reconstructed_transformed,0.1260532041137959,0.0990373755790291,258.24242735889914,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,"relu,tanh",test,level,1305648.4996648557,1045637.8470789948,10.102042803106412,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,"relu,tanh",validation,reconstructed_transformed,0.0920990334503814,0.06497765536519419,143.08953774510636,71.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,"relu,tanh",validation,level,726951.0877017798,523574.45369765296,6.736242674400859,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.1284589768460369,0.09853937436022725,211.96935280499827,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,level,1353274.160156519,1047490.8845826351,9.892282681651215,43.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.10254857136889485,0.07450717160191135,135.01398795647876,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,level,832233.2748762341,616582.8857244665,7.716724836648623,53.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.11646685284602733,0.08475920880361282,159.03626818436402,65.625
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,level,1192388.884887637,892783.0923256319,8.558019502197476,53.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.11312824662482142,0.08096873771565326,175.88461948071188,68.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,level,898804.9102479505,657806.1203899509,8.471884025218268,56.25
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,tanh,test,reconstructed_transformed,0.13095207357029984,0.09342715021636339,160.90113743884444,59.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,tanh,test,level,1379825.7694330981,1003057.6860047682,9.66349387717077,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,tanh,validation,reconstructed_transformed,0.09611390794475438,0.0732385802246381,127.46209325070892,71.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,6,tanh,validation,level,740977.618489257,581157.9549872555,7.534243188979284,59.375
df_final,VMD_ARDL_FFNN,True,cached_vmd,2,tanh,test,reconstructed_transformed,0.11749959055017081,0.08993252456206575,169.77209706003484,71.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,2,tanh,test,level,1246162.6540970353,962544.8047135484,9.04372123488517,50.0
df_final,VMD_ARDL_FFNN,True,cached_vmd,2,tanh,validation,reconstructed_transformed,0.10062034377073796,0.07790941499727769,100.57343240307586,68.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,2,tanh,validation,level,793667.415709844,631668.1914960713,8.017724146260257,53.125
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,reconstructed_transformed,0.11074816321165687,0.08057067512302557,157.25056631954232,62.5
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,test,level,1136059.2452569492,851987.4942859223,8.115838281996364,46.875
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,reconstructed_transformed,0.11892894753124186,0.08022530263145497,142.63397115243555,68.75
df_final,VMD_ARDL_FFNN,True,cached_vmd,3,tanh,validation,level,954015.1857300693,654342.5331130995,8.497430735137092,65.625
