component,rank,lag_spec,nobs,AIC,BIC,HQIC,resid_Ljung_Box_lag12_stat,resid_Ljung_Box_lag12_pvalue,resid_ARCH_LM_stat,resid_ARCH_LM_pvalue,resid_Jarque_Bera_stat,resid_Jarque_Bera_pvalue,resid_skewness,resid_kurtosis
raw_no_vmd,1,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]",141,-58.38989988928661,-20.056021314370426,-42.8123374213623,41.30343208228961,4.359618801293283e-05,11.248211112297195,0.5077753035657508,114.86586816125012,1.1407583313847839e-25,0.12624489670360628,7.414508583982479
raw_no_vmd,2,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",141,-56.4680524900448,-15.185414024750443,-39.69221598612631,41.03500517401556,4.834657171946853e-05,11.26353145171481,0.5064792551982564,117.51569695334004,3.0324289776775254e-26,0.13872364711912302,7.463820652844936
raw_no_vmd,3,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3]",141,-57.1222561597437,-15.839617694449345,-40.34641965582521,39.31172844827393,9.348353751440932e-05,10.487089871402489,0.5733088150681469,125.7662627421818,4.900078535995808e-28,0.1648682666507421,7.615007829254905
raw_no_vmd,4,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",141,-52.737317794432585,-5.55715954838189,-33.56493321852574,41.1915277386747,4.551807660640186e-05,11.941300836249269,0.45040531767829706,112.31640886495131,4.0813299048532753e-25,0.13139767540626995,7.36447307459929
raw_no_vmd,5,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3]",141,-53.05234047070849,-2.9234223342796213,-32.681681858807465,41.91456736217791,3.442579191008754e-05,9.688088217205108,0.6433033029601505,107.22566323623761,5.202871130726918e-24,0.13869872343113385,7.2631241334889625
raw_no_vmd,6,"target:[1, 11] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]",141,-54.88175704693218,-10.650358691259655,-36.90764650701951,41.00245864525372,4.895604241393541e-05,11.287584845361696,0.5044466704461348,113.39304620202998,2.3823900913534685e-25,0.11288872210173777,7.387478613062066
raw_no_vmd,7,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",141,-55.15667759158765,-10.925279235915127,-37.18256705167498,39.20412772879408,9.738626721181032e-05,10.513410460518687,0.5710135560517691,127.3808596297761,2.1857363825278296e-28,0.17148472746114604,7.643729148067506
raw_no_vmd,8,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",141,-51.61957749985916,-1.4906593634302965,-31.24891888795814,39.14516305096997,9.959223129149254e-05,11.289687404559496,0.5042691296380186,121.5922586131893,3.949812874492173e-27,0.16975928275470764,7.536659762560839
raw_no_vmd,9,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]",141,-51.24176758477576,1.8359104420312775,-29.672834936880555,41.664187531318625,3.792750424952933e-05,9.72333185596344,0.6402180786889129,110.00532852152392,1.2961236095163297e-24,0.14994317835127946,7.316755657987821
raw_no_vmd,10,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]",141,-47.60540085481453,11.369796952748843,-23.639920134930975,41.87353202241635,3.497708881778486e-05,10.214277890596215,0.5971683805123462,100.47618107253851,1.5201081894573094e-22,0.14807633667290082,7.124878457272187
