feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__target_lag_validation_screen__,VMD1,0.0,"(1,)",validation_screen,acf_pacf,{1: 'pacf+acf+forced'},{1: 0.8189448162793379},{1: 0.8189448162793381},0.1589769927081473,True,False,"target:[1] | US_Retail:[1, 2, 3, 4, 5, 6], PCE:[1, 2, 3, 4], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2, 3, 4], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5, 6), 'PCE': (1, 2, 3, 4), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2, 3, 4), 'USD_VND': (1, 2, 3, 4, 5, 6)}",146.0,33.0,0.14157330776183863,0.10121751064975007,141.34263248494895,43.75,,,,,,,,,,,,,
__target_lag_validation_screen__,VMD1,1.0,"(1, 2)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 2: 'pacf+acf'}","{1: 0.8189448162793379, 2: 0.4035158261679499}","{1: 0.8189448162793381, 2: -0.8112084610946716}",0.1589769927081473,False,False,"target:[1, 2] | US_Retail:[1, 2, 3, 4, 5], PCE:[1, 2, 3, 4, 5, 6], US_Sentiment:[1, 2, 3, 4, 5], Import_CN:[1, 2, 3, 4, 5], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1, 2, 3, 4, 5), 'PCE': (1, 2, 3, 4, 5, 6), 'US_Sentiment': (1, 2, 3, 4, 5), 'Import_CN': (1, 2, 3, 4, 5), 'USD_VND': (1, 2, 3, 4, 5, 6)}",146.0,33.0,0.14540555702276775,0.10144352121482322,133.67169613853227,46.875,,,,,,,,,,,,,
__target_lag_validation_screen__,VMD1,2.0,"(1, 6)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 6: 'acf'}","{1: 0.8189448162793379, 6: -0.809083403171578}","{1: 0.8189448162793381, 6: -0.07971071154940372}",0.1589769927081473,False,False,"target:[1, 6] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3], Import_CN:[1], USD_VND:[1, 2, 3, 4, 5]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3), 'Import_CN': (1,), 'USD_VND': (1, 2, 3, 4, 5)}",146.0,33.0,0.1439562632252912,0.10236932066926735,115.18684443814513,50.0,,,,,,,,,,,,,
__target_lag__,VMD1,,"(1,)",validation_screen,,,,,,True,False,,,,,,,,,1.0,aic,,,,,,,,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-942.2327123842781,-930.1635930370184,-942.2327123842781,151.0,,False,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-953.1119010341334,-941.0427816868737,-953.1119010341334,151.0,,False,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-970.356171600531,-958.2870522532712,-970.356171600531,151.0,,False,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-984.5288448093455,-972.4597254620858,-984.5288448093455,151.0,3.0,True,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-992.0521246058082,-979.9830052585485,-992.0521246058082,151.0,2.0,True,,,,
US_Retail,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-996.2603735652714,-984.1912542180116,-996.2603735652714,151.0,1.0,True,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-936.100903534747,-924.0317841874872,-936.100903534747,151.0,,False,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-955.7625931543286,-943.6934738070688,-955.7625931543286,151.0,,False,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,3.0,-974.1494464461857,-962.080327098926,-974.1494464461857,151.0,,False,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,4.0,-982.0967922506045,-970.0276729033448,-982.0967922506045,151.0,1.0,True,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,5.0,-981.4142747036685,-969.3451553564088,-981.4142747036685,151.0,2.0,True,,,,
PCE,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,6.0,-981.0044846069001,-968.9353652596403,-981.0044846069001,151.0,3.0,True,,,,
US_Sentiment,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,1.0,-937.088593540079,-925.0194741928193,-937.088593540079,151.0,,False,,,,
US_Sentiment,VMD1,,"(1,)",,,,,,,,,,,,,,,,,,aic,2.0,-952.5699163102131,-940.5007969629534,-952.5699163102131,151.0,,False,,,,
