feature,component,target_lag_candidate_id,target_lags,target_lag_strategy,target_lag_preset,target_lag_source,acf_value,pacf_value,significance_threshold,selected_for_target_lags,target_lag_selection_fallback,lag_spec,exog_lags,n_train,n_val,Val RMSE,Val MAE,Val MAPE,Val Directional_Accuracy,target_lag,selected_ic,exog_lag,AIC,BIC,selected_score,nobs,rank_within_feature,selected_for_ffnn_grid,combo_rank,combo_score_sum,combo_source,lag_spec_strategy
__target_lag_validation_screen__,raw_no_vmd,0.0,"(1,)",validation_screen,acf_pacf,{1: 'pacf+acf+forced'},{1: -0.38033102132068414},{1: -0.3803310213206842},0.1589769927081473,False,False,"target:[1] | US_Retail:[1], PCE:[1, 2, 3], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4]","{'US_Retail': (1,), 'PCE': (1, 2, 3), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4)}",148.0,33.0,0.2213155570105756,0.17510355608788514,343.2437189710412,53.125,,,,,,,,,,,,,
__target_lag_validation_screen__,raw_no_vmd,1.0,"(1, 11)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 11: 'pacf'}","{1: -0.38033102132068414, 11: -0.10963818703203052}","{1: -0.3803310213206842, 11: -0.4059620612336614}",0.1589769927081473,True,False,"target:[1, 11] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2], Import_CN:[1, 2], USD_VND:[1, 2, 3]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3)}",141.0,33.0,0.15769835689912443,0.11343047426084715,338.90308012272646,75.0,,,,,,,,,,,,,
__target_lag_validation_screen__,raw_no_vmd,2.0,"(1, 11, 12)",validation_screen,acf_pacf,"{1: 'pacf+acf+forced', 11: 'pacf', 12: 'pacf+acf'}","{1: -0.38033102132068414, 11: -0.10963818703203052, 12: 0.49808605173472603}","{1: -0.3803310213206842, 11: -0.4059620612336614, 12: 0.23371379660743144}",0.1589769927081473,False,False,"target:[1, 11, 12] | US_Retail:[1], PCE:[1], US_Sentiment:[1, 2, 3, 4, 5, 6], Import_CN:[1, 2], USD_VND:[1, 2, 3, 4, 5, 6]","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (1, 2, 3, 4, 5, 6), 'Import_CN': (1, 2), 'USD_VND': (1, 2, 3, 4, 5, 6)}",140.0,33.0,0.2678894455927338,0.2239210996659052,570.0827938531916,53.125,,,,,,,,,,,,,
__target_lag__,raw_no_vmd,,"(1, 11)",validation_screen,,,,,,True,False,,,,,,,,,1.0,aic,,,,,,,,,,,
__target_lag__,raw_no_vmd,,"(1, 11)",validation_screen,,,,,,True,False,,,,,,,,,11.0,aic,,,,,,,,,,,
US_Retail,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,1.0,-64.02940277697279,-49.285603325081944,-64.02940277697279,141.0,1.0,True,,,,
US_Retail,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,2.0,-59.892809158345415,-45.14900970645457,-59.892809158345415,141.0,3.0,True,,,,
US_Retail,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,3.0,-60.20891669894955,-45.46511724705871,-60.20891669894955,141.0,2.0,True,,,,
US_Retail,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,4.0,-59.66245075918387,-44.918651307293025,-59.66245075918387,141.0,,False,,,,
US_Retail,raw_no_vmd,,"(1, 11)",,,,,,,,,,,,,,,,,,aic,5.0,-59.4341435617211,-44.69034410983026,-59.4341435617211,141.0,,False,,,,
