split,date,predicted_reconstructed,component_count,actual_raw_transformed,actual_level,predicted_level
test,2023-07-01,-0.036076769183778834,4,0.06812666100404563,8674976.959999995,7816518.413339384
test,2023-08-01,-0.12035425304994236,4,0.039234300062261696,9022098.620000003,7691289.208547333
test,2023-09-01,-0.04931385422239773,4,-0.1058497809460004,8115916.950000001,8587976.26061039
test,2023-10-01,-0.039557022190294625,4,0.10507979669976386,9015154.419999998,7801142.262216362
test,2023-11-01,-0.10945404534900469,4,-0.04374756769199806,8629265.730000008,8080493.443340112
test,2023-12-01,-0.03144517871809466,4,0.05766110339446584,9141463.759999994,8362138.863812731
test,2024-01-01,-0.1174303107511197,4,0.0947774749324175,10050254.890000002,8128612.222820036
test,2024-02-01,-0.08034363562199139,4,-0.3968092121206439,6758417.630000002,9274367.023783855
test,2024-03-01,0.23211240600138092,4,0.28236125117895483,8963403.729999991,8524131.918588763
test,2024-04-01,0.15763348783143807,4,0.02203507816835426,9163105.17,10493788.631957142
test,2024-05-01,0.021482610394404356,4,0.059385698166405376,9723744.799999988,9362082.20916627
test,2024-06-01,-0.009962944111807912,4,0.07510308461836956,10482150.900000004,9627348.666005306
test,2024-07-01,-0.01602652894955889,4,0.07412076477076823,11288614.610000001,10315497.410691626
test,2024-08-01,-0.1448965370779932,4,0.045193808992106455,11810494.140000008,9765913.653680107
test,2024-09-01,-0.15502933658196622,4,-0.17315767918146108,9932684.570000008,10114389.709102117
test,2024-10-01,0.09485978167133954,4,0.06986642039984048,10651462.550000016,10921033.106200296
test,2024-11-01,0.01447894901380993,4,-0.04861378399646554,10146039.449999988,10806806.42737645
test,2024-12-01,-0.03153135283331173,4,0.03725054561795815,10531112.51999999,9831112.232817713
test,2025-01-01,-0.02722741024447658,4,-0.0036809499048224836,10492419.280000016,10248245.935969649
test,2025-02-01,-0.04481302759991651,4,-0.14692865412103728,9058688.649999997,10032602.054349959
test,2025-03-01,0.20444397684520904,4,0.26801912030960295,11843077.140000006,11113586.244021669
test,2025-04-01,0.02034194807024882,4,0.013791260721308873,12007539.570000017,12086455.401824152
test,2025-05-01,0.01039833830640085,4,0.13445838212091488,13735629.250000006,12133049.444847286
test,2025-06-01,-0.0698228345598744,4,0.002299227450489383,13767246.919999983,12809284.986817306
test,2025-07-01,-0.18357334954107363,4,0.03180734201207258,14212185.089999977,11458353.30182797
test,2025-08-01,-0.11323987436075322,4,-0.020133657730841747,13928903.140000004,12690577.985407341
test,2025-09-01,-0.04004160278697492,4,-0.015653354809114006,13712566.69000002,13382186.288061192
test,2025-10-01,0.047042659559551295,4,-0.022804299333234468,13403399.780000003,14373056.0839254
test,2025-11-01,-0.03882014770464046,4,-0.0601797333208296,12620577.999999985,12893047.879130265
test,2025-12-01,0.015208175749161461,4,0.13166214702282986,14396581.800000003,12813980.893232515
test,2026-01-01,-0.04885601916640309,4,-0.03526523774703705,13897730.669999987,13710127.375587234
test,2026-02-01,-0.1986646495887725,4,-0.3347205483677236,9944354.64000001,11393703.930871071
test,2026-03-01,0.23053466855350588,4,0.42366998853572824,15190572.510000004,12522658.53075883
validation,2020-10-01,-0.013161926102649962,4,-0.017511510173097378,7622404.360000007,7655630.856919628
validation,2020-11-01,-0.1538618313989978,4,-0.08302994751314685,7015078.510000002,6535376.912169585
validation,2020-12-01,0.13064513118565974,4,0.09289051242615898,7697937.359999999,7994126.115300702
validation,2021-01-01,-0.12955405854316948,4,-0.22435968393485695,6150865.069999998,6762538.647352896
validation,2021-02-01,0.23494403886820853,4,0.11150233060067194,6876398.660000002,7779847.781066758
validation,2021-03-01,0.043963159163191004,4,0.11790935446257045,7736925.75,7185450.541991447
validation,2021-04-01,0.10219120220988917,4,0.018257745621006904,7879481.990000002,8569382.025685968
validation,2021-05-01,-0.078357756422995,4,-0.026428527548890912,7673966.5799999945,7285633.591828945
validation,2021-06-01,0.10501557170474514,4,0.05448237206710793,8103661.600000002,8523688.831253504
validation,2021-07-01,0.10738749959722356,4,0.06812666100404563,8674976.959999995,9022338.056420304
validation,2021-08-01,0.03636000188320461,4,0.039234300062261696,9022098.620000003,8996203.651123991
validation,2021-09-01,0.08259914768019426,4,-0.1058497809460004,8115916.950000001,9798958.628811145
validation,2021-10-01,0.178784842075279,4,0.10507979669976386,9015154.419999998,9704716.758779908
validation,2021-11-01,-0.13166719050665326,4,-0.04374756769199806,8629265.730000008,7902979.14407492
validation,2021-12-01,0.11823006271019279,4,0.05766110339446584,9141463.759999994,9712264.621017551
validation,2022-01-01,-0.006372672627593667,4,0.06315286941362075,9737392.689999985,9083393.43223875
validation,2022-02-01,-0.2926313412903523,4,-0.4065003982432369,6484877.9200000055,7266989.084457345
validation,2022-03-01,0.2789557230014927,4,0.406385601172337,9736274.929999987,8571379.735383669
validation,2022-04-01,0.08300865657666118,4,0.05095998495557197,10245295.029999994,10578961.348158605
validation,2022-05-01,-0.062231787994622235,4,-0.056192962400160695,9685458.300000003,9627145.753382238
validation,2022-06-01,0.02210064811054559,4,0.10061080422327251,10710626.939999996,9901896.103904659
validation,2022-07-01,-0.06608388115403303,4,-0.030748018348262462,10386308.020000016,10025707.451264624
validation,2022-08-01,0.05503585557925071,4,-0.03627443655287266,10016302.000000007,10973949.729929987
validation,2022-09-01,-0.10259718906715437,4,-0.20427419308441586,8165678.1000000015,9039616.731914723
validation,2022-10-01,0.11960561278380194,4,0.0049184292646273775,8205939.339999999,9203146.029789053
validation,2022-11-01,-0.14332439299695726,4,-0.04531648223019147,7842374.979999997,7110224.430894568
validation,2022-12-01,-0.0034926434375186083,4,0.04121610223450389,8172360.759999996,7815032.137686195
validation,2023-01-01,0.011946449537558357,4,-0.28416508812979835,6150865.069999998,8270576.954733157
validation,2023-02-01,0.1447504073739168,4,0.11150233060067194,6876398.660000002,7108868.869602559
validation,2023-03-01,-0.010656460939343332,4,0.11790935446257045,7736925.75,6803509.645516942
validation,2023-04-01,0.030068551910552445,4,0.018257745621006904,7879481.990000002,7973096.77023202
validation,2023-05-01,0.02964811393605971,4,-0.026428527548890912,7673966.5799999945,8116591.323854479
validation,2023-06-01,0.13059113038248576,4,0.05448237206710793,8103661.600000002,8744498.565253608
