pipeline,stage,split,n_rows,start_time,end_time,feature_columns,target_lags,exogenous_lags,has_lag_0,has_nan,stationarity_transforms
no_vmd,chronological_split,train,152,2008-02-01,2020-09-01,"['Export_US', 'US_Retail', 'PCE', 'US_Sentiment', 'Import_CN', 'USD_VND']",(),{},False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,chronological_split,validation,33,2020-10-01,2023-06-01,"['Export_US', 'US_Retail', 'PCE', 'US_Sentiment', 'Import_CN', 'USD_VND']",(),{},False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,chronological_split,test,33,2023-07-01,2026-03-01,"['Export_US', 'US_Retail', 'PCE', 'US_Sentiment', 'Import_CN', 'USD_VND']",(),{},False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
no_vmd,validation_design,validation,33,2020-10-01,2023-06-01,"['Export_US__lag_1', 'Export_US__lag_12', 'US_Retail__lag_1', 'PCE__lag_1', 'US_Sentiment__lag_6', 'Import_CN__lag_2', 'USD_VND__lag_3']","(1, 12)","{'US_Retail': (1,), 'PCE': (1,), 'US_Sentiment': (6,), 'Import_CN': (2,), 'USD_VND': (3,)}",False,False,"{'Export_US': 'diff1', 'US_Retail': 'diff1', 'PCE': 'diff1', 'US_Sentiment': 'diff1', 'Import_CN': 'diff1', 'USD_VND': 'diff1'}"
